,class,precision,recall,f1-score,support,corpus,preprocessing,estimator
0,0,0.5659432387312187,1.0,0.7228144989339019,339.0,ig,,DummyClassifier()
1,accuracy,0.5659432387312187,0.5659432387312187,0.5659432387312187,0.5659432387312187,ig,,DummyClassifier()
2,weighted avg,0.3202917494655812,0.5659432387312187,0.4090719785285355,599.0,ig,,DummyClassifier()
3,macro avg,0.28297161936560933,0.5,0.36140724946695096,599.0,ig,,DummyClassifier()
4,1,0.0,0.0,0.0,260.0,ig,,DummyClassifier()
0,0,0.8617021276595744,1.0,0.9257142857142857,162.0,bo,,DummyClassifier()
1,accuracy,0.8617021276595744,0.8617021276595744,0.8617021276595744,0.8617021276595744,bo,,DummyClassifier()
2,weighted avg,0.7425305568130375,0.8617021276595744,0.7976899696048633,188.0,bo,,DummyClassifier()
3,macro avg,0.4308510638297872,0.5,0.46285714285714286,188.0,bo,,DummyClassifier()
4,1,0.0,0.0,0.0,26.0,bo,,DummyClassifier()
0,0,0.5034843205574913,1.0,0.6697566628041715,289.0,cl,,DummyClassifier()
1,accuracy,0.5034843205574913,0.5034843205574913,0.5034843205574913,0.5034843205574913,cl,,DummyClassifier()
2,weighted avg,0.25349646104723866,0.5034843205574913,0.33721197831081107,574.0,cl,,DummyClassifier()
3,macro avg,0.25174216027874563,0.5,0.3348783314020857,574.0,cl,,DummyClassifier()
4,1,0.0,0.0,0.0,285.0,cl,,DummyClassifier()
0,1,0.5426356589147286,1.0,0.7035175879396985,420.0,co,,DummyClassifier()
1,accuracy,0.5426356589147286,0.5426356589147286,0.5426356589147286,0.5426356589147286,co,,DummyClassifier()
2,weighted avg,0.29445345832582176,0.5426356589147286,0.3817537298897589,774.0,co,,DummyClassifier()
3,macro avg,0.2713178294573643,0.5,0.35175879396984927,774.0,co,,DummyClassifier()
4,0,0.0,0.0,0.0,354.0,co,,DummyClassifier()
0,1,0.5936739659367397,1.0,0.7450381679389313,244.0,gl,,DummyClassifier()
1,accuracy,0.5936739659367397,0.5936739659367397,0.5936739659367397,0.5936739659367397,gl,,DummyClassifier()
2,weighted avg,0.35244877783105716,0.5936739659367397,0.442309763934548,411.0,gl,,DummyClassifier()
3,macro avg,0.29683698296836986,0.5,0.37251908396946565,411.0,gl,,DummyClassifier()
4,0,0.0,0.0,0.0,167.0,gl,,DummyClassifier()
0,0,0.5257352941176471,1.0,0.689156626506024,143.0,lu,,DummyClassifier()
1,accuracy,0.5257352941176471,0.5257352941176471,0.5257352941176471,0.5257352941176471,lu,,DummyClassifier()
2,weighted avg,0.27639759948096887,0.5257352941176471,0.36231396172927,272.0,lu,,DummyClassifier()
3,macro avg,0.26286764705882354,0.5,0.344578313253012,272.0,lu,,DummyClassifier()
4,1,0.0,0.0,0.0,129.0,lu,,DummyClassifier()
