,class,precision,recall,f1-score,support,Target
0,0,0.7152317880794702,0.9557522123893806,0.8181818181818182,339.0,Church
1,accuracy,0.7595993322203672,0.7595993322203672,0.7595993322203672,0.7595993322203672,Church
2,weighted avg,0.7942424831249034,0.7595993322203672,0.743150062763211,599.0,Church
3,macro avg,0.8062460310260364,0.7297991831177673,0.7317510076130767,599.0,Church
4,1,0.8972602739726028,0.5038461538461538,0.645320197044335,260.0,Church
0,0,0.8914285714285715,0.9629629629629629,0.9258160237388724,162.0,Bolsonaro
1,accuracy,0.8670212765957447,0.8670212765957447,0.8670212765957447,0.8670212765957447,Bolsonaro
2,weighted avg,0.842613981762918,0.8670212765957447,0.8474230275480356,188.0,Bolsonaro
3,macro avg,0.7149450549450549,0.6160968660968661,0.6423951913566157,188.0,Bolsonaro
4,1,0.5384615384615384,0.2692307692307692,0.358974358974359,26.0,Bolsonaro
0,0,0.5932584269662922,0.9134948096885813,0.7193460490463215,289.0,Hidroxicloroquina
1,accuracy,0.6411149825783972,0.6411149825783972,0.6411149825783972,0.6411149825783972,Hidroxicloroquina
2,weighted avg,0.6989880265744312,0.6411149825783972,0.6116366097064257,574.0,Hidroxicloroquina
3,macro avg,0.6997299886769446,0.6392035451951679,0.6108807539917598,574.0,Hidroxicloroquina
4,1,0.8062015503875969,0.3649122807017544,0.5024154589371981,285.0,Hidroxicloroquina
0,0,0.533442088091354,0.923728813559322,0.6763185108583247,354.0,Sinovac
1,accuracy,0.5956072351421189,0.5956072351421189,0.5956072351421189,0.5956072351421189,Sinovac
2,macro avg,0.6828701123686584,0.6213882163034705,0.568796088475634,774.0,Sinovac
3,weighted avg,0.6956120369194363,0.5956072351421189,0.5596275098228464,774.0,Sinovac
4,1,0.8322981366459627,0.319047619047619,0.4612736660929432,420.0,Sinovac
0,0,0.5638297872340425,0.9520958083832335,0.7082405345211581,167.0,Globo TV
1,accuracy,0.681265206812652,0.681265206812652,0.681265206812652,0.681265206812652,Globo TV
2,macro avg,0.7509071416790367,0.7239987238637479,0.678517050102402,411.0,Globo TV
3,weighted avg,0.7859556971346683,0.681265206812652,0.6729484167684745,411.0,Globo TV
4,1,0.937984496124031,0.4959016393442623,0.6487935656836461,244.0,Globo TV
0,0,0.6868131868131868,0.8741258741258742,0.7692307692307693,143.0,Lula
1,accuracy,0.7242647058823529,0.7242647058823529,0.7242647058823529,0.7242647058823529,Lula
2,weighted avg,0.7404936974789916,0.7242647058823529,0.7162570507655116,272.0,Lula
3,macro avg,0.7434065934065934,0.7161327045047976,0.7133825079030558,272.0,Lula
4,1,0.8,0.5581395348837209,0.6575342465753424,129.0,Lula
